------+-----------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File     Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+-----------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1  dd.s      1 | Comment     | 11 |         |    0 | 00/8000               | * unsigned 32 bit fixed-point division  
    2 |  1  dd.s      2 | Empty       | 11 |         |    0 | 00/8000               |                                      
    3 |  1  dd.s      3 | Directive   | 11 |         |    0 | 00/8000               |                 org   $4000          
    4 |  1  dd.s      4 | Directive   | 11 |         |    0 | 00/4000               |                 put   equ            
    5 |  2 equ.s      1 | Comment     | 11 |         |    0 | 00/4000               | ************ ROM routines ************ 
    6 |  2 equ.s      2 | Equivalence | 11 |         |    0 | 00/4000               | home            equ   $FC58          ; clear text screen, reset margins
    7 |  2 equ.s      3 | Equivalence | 11 |         |    0 | 00/4000               | text            equ   $FB2F          ; text mode
    8 |  2 equ.s      4 | Equivalence | 11 |         |    0 | 00/4000               | Bell            equ   $FBDD          ; play a sound
    9 |  2 equ.s      5 | Equivalence | 11 |         |    0 | 00/4000               | cout            equ   $FDED          ; print char in A
   10 |  2 equ.s      6 | Equivalence | 11 |         |    0 | 00/4000               | vtab            equ   $FC22          ; vert. tab, value must be in CV ($25)
   11 |  2 equ.s      7 | Equivalence | 11 |         |    0 | 00/4000               | getln           equ   $FD6A          ; read line of input (=> X = length, buffer = $200)
   12 |  2 equ.s      8 | Equivalence | 11 |         |    0 | 00/4000               | getlnz          equ   $FD67          ; = return + getln
   13 |  2 equ.s      9 | Equivalence | 11 |         |    0 | 00/4000               | getln1          equ   $FD6F          ; = getln without prompt
   14 |  2 equ.s     10 | Equivalence | 11 |         |    0 | 00/4000               | bascalc         equ   $FBC1          ; calc. address of line in A, put address in $28/$29
   15 |  2 equ.s     11 | Equivalence | 11 |         |    0 | 00/4000               | crout           equ   $FD8E          ; print carriage return
   16 |  2 equ.s     12 | Equivalence | 11 |         |    0 | 00/4000               | clreop          equ   $FC42          ; clear from cursor to end of page
   17 |  2 equ.s     13 | Equivalence | 11 |         |    0 | 00/4000               | clreol          equ   $FC9C          ; clear from cursor to end of line
   18 |  2 equ.s     14 | Equivalence | 11 |         |    0 | 00/4000               | prntx           equ   $F944          ; prints X in hex (2 digits)
   19 |  2 equ.s     15 | Equivalence | 11 |         |    0 | 00/4000               | prbyte          equ   $FDDA          ; prints A in hex (2 digits)
   20 |  2 equ.s     16 | Equivalence | 11 |         |    0 | 00/4000               | printax         equ   $F941          ; Prints current contents of the A and X in hex
   21 |  2 equ.s     17 | Equivalence | 11 |         |    0 | 00/4000               | prntyx          equ   $F940          ; Prints current contents of the Y and X in hex
   22 |  2 equ.s     18 | Equivalence | 11 |         |    0 | 00/4000               | rdkey           equ   $FD0C          ; wait for keypress
   23 |  2 equ.s     19 | Equivalence | 11 |         |    0 | 00/4000               | wait            equ   $FCA8          ; monitor delay
   24 |  2 equ.s     20 | Equivalence | 11 |         |    0 | 00/4000               | AUXMOV          equ   $C311          
   25 |  2 equ.s     21 | Equivalence | 11 |         |    0 | 00/4000               | OUTPORT         equ   $FE95          
   26 |  2 equ.s     22 | Equivalence | 11 |         |    0 | 00/4000               | prnxy           equ   $F940          
   27 |  2 equ.s     23 | Equivalence | 11 |         |    0 | 00/4000               | HPOSN           equ   $F411          ; Positions hi-res“cursor” without plotting.
   28 |  2 equ.s     24 | Comment     | 11 |         |    0 | 00/4000               |                                 ; Enter with X,Y(low,high)=horizontalposition, Accumulator = verticalposition.
   29 |  2 equ.s     25 | Equivalence | 11 |         |    0 | 00/4000               | HPLOT           equ   $F457          ; Identical to HPOSN, but plots current HCOLOR at coordinates given.
   30 |  2 equ.s     26 | Equivalence | 11 |         |    0 | 00/4000               | HLIN            equ   $F53A          ; Draws a line from last plot to point given.
   31 |  2 equ.s     27 | Comment     | 11 |         |    0 | 00/4000               |                                 ; Accumulator, X (low,high) = horizontal, Y= verticalposition.
   32 |  2 equ.s     28 | Equivalence | 11 |         |    0 | 00/4000               | HCOLOR          equ   $F6F0          ; Sets HCOLOR to contents of X-Register(0−7).
   33 |  2 equ.s     29 | Comment     | 11 |         |    0 | 00/4000               | *
   34 |  2 equ.s     30 | Comment     | 11 |         |    0 | 00/4000               | ************ ROM switches ************  
   35 |  2 equ.s     31 | Equivalence | 11 |         |    0 | 00/4000               | RAMRDON         equ   $C003          ; read aux
   36 |  2 equ.s     32 | Equivalence | 11 |         |    0 | 00/4000               | RAMRDOFF        equ   $C002          ; read main
   37 |  2 equ.s     33 | Equivalence | 11 |         |    0 | 00/4000               | RAMWRTOFF       equ   $C004          ; write to main
   38 |  2 equ.s     34 | Equivalence | 11 |         |    0 | 00/4000               | RAMWRTON        equ   $C005          ; write to aux
   39 |  2 equ.s     35 | Equivalence | 11 |         |    0 | 00/4000               | ALTCHARSET0FF   equ   $C00E          
   40 |  2 equ.s     36 | Equivalence | 11 |         |    0 | 00/4000               | ALTCHARSET0N    equ   $C00F          
   41 |  2 equ.s     37 | Equivalence | 11 |         |    0 | 00/4000               | kbd             equ   $C000          ; ascii code of last key pressed (+ 128 if strobe not cleared)
   42 |  2 equ.s     38 | Equivalence | 11 |         |    0 | 00/4000               | kbdstrb         equ   $C010          
